index, timestamp, data
0, 21:27:55, b'Handshake successful!\r\nBME680 test\r\n' 
1, 21:27:56, b'Starting Adafruit TSL2591 Test!\r' 
2, 21:27:56, b'\nFound a TSL2591 sensor\r\n-------' 
3, 21:27:56, b'-----------------------------\r\nG' 
4, 21:27:56, b'ain:         25x (Medium)\r\nTimin' 
5, 21:27:56, b'g:       300 ms\r\n---------------' 
6, 21:27:56, b'---------------------\r\n\r\nSGP30 t' 
7, 21:27:56, b'est\r\nFound SGP30 serial #01229EDA\r\n' 
8, 21:27:57, b'Temperature = 24.58 *C\r\nPressure' 
9, 21:27:57, b' = 1008.16 hPa\r\nHumidity = 51.79' 
