index, timestamp, data
0, 17:12:31, b'T\x00emperature = 34.69 *C\r\nPressure' 
1, 17:12:31, b' = 640.50 hPa\r\nHumidity = 100.00' 
2, 17:12:31, b' %\r\nGas = 0.00 KOhms\r\nApprox. Altitude = ' 
3, 17:12:31, b'3705.27 m\r\n\r\n' 
4, 17:12:31, b'[ 276761 ms ] IR: 12  Full: 75  ' 
5, 17:12:31, b'Visible: 63  Lux: 2.878848\r\nTVOC' 
6, 17:12:31, b' 60000 ppb\teCO2 57330 ppm\r\nRaw H' 
7, 17:12:31, b'2 13531 \tRaw Ethanol 18348\r\n' 
8, 17:12:33, b'Temperature = 34.69 *C\r\nPressure' 
9, 17:12:33, b' = 640.50 hPa\r\nHumidity = 100.00' 
