index, timestamp, data
0, 21:47:39, b'Handshake successful!\r\nBME680 test\r\n' 
1, 21:47:40, b'Starting Adafruit TSL2591 Test!\r' 
2, 21:47:40, b'\nFound a TSL2591 sensor\r\n-------' 
3, 21:47:40, b'-----------------------------\r\nG' 
4, 21:47:40, b'ain:         25x (Medium)\r\nTimin' 
5, 21:47:40, b'g:       300 ms\r\n---------------' 
6, 21:47:40, b'---------------------\r\n\r\nSGP30 t' 
7, 21:47:40, b'est\r\nFound SGP30 serial #01229EDA\r\n' 
8, 21:47:40, b'Temperature = 24.39 *C\r\nPressure' 
9, 21:47:40, b' = 1009.95 hPa\r\nHumidity = 56.83' 
