index, timestamp, data
0, 18:25:29, b'Handshake successful!\r\nBME680 test\r\n' 
1, 18:25:30, b'Starting Adafruit TSL2591 Test!\r' 
2, 18:25:30, b'\nFound a TSL2591 sensor\r\n-------' 
3, 18:25:30, b'-----------------------------\r\nG' 
4, 18:25:30, b'ain:         25x (Medium)\r\nTimin' 
5, 18:25:30, b'g:       300 ms\r\n---------------' 
6, 18:25:30, b'---------------------\r\n\r\nSGP30 t' 
7, 18:25:30, b'est\r\nFound SGP30 serial #01229EDA\r\n' 
8, 18:25:31, b'Temperature = 24.88 *C\r\nPressure' 
9, 18:25:31, b' = 1006.13 hPa\r\nHumidity = 48.34' 
